anon_student_id,condition,Posttest,Practice,Pretest
23938,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),10,20,10
23938,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),6,12,6
23938,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),14,28,14
23938,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),10,20,10
23939,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23939,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),4,8,4
23939,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),2,4,2
23939,High Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),2,4,2
23939,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),10,20,10
23939,Low Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~Low Topic spacing (Topic spacing),8,16,8
23939,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~High Topic spacing (Topic spacing),6,12,6
23939,Low Learning objective spacing (Learning objective spacing)~~Low Question variability (Question variability)~~Low Topic spacing (Topic spacing),16,32,16
23940,High Learning objective spacing (Learning objective spacing)~~High Question variability (Question variability)~~High Topic spacing (Topic spacing),0,4,2
